Date : 2025-10-28 03:59:19
Directory : /Users/changzechuan/DBMSProjects/bytebase
Total : 4102 files,  739077 codes, 55996 comments, 97133 blanks, all 892206 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Go                 |      1,466 |    392,705 |     31,531 |     49,665 |    473,901 |
| vue                |        996 |    121,029 |        283 |     11,403 |    132,715 |
| YAML               |        470 |     82,106 |        165 |      3,840 |     86,111 |
| TypeScript         |        763 |     46,738 |     19,276 |      7,702 |     73,716 |
| HTML               |          5 |     33,743 |          0 |     11,981 |     45,724 |
| JSON               |         52 |     23,818 |          1 |         15 |     23,834 |
| MS SQL             |        207 |     20,750 |      1,549 |      2,063 |     24,362 |
| Markdown           |         58 |     10,433 |          5 |      9,158 |     19,596 |
| Go Checksum File   |          1 |      2,691 |          0 |          1 |      2,692 |
| JavaScript         |         45 |      1,905 |      3,079 |        860 |      5,844 |
| PostCSS            |          4 |      1,189 |         41 |        240 |      1,470 |
| TypeScript JSX     |          4 |      1,108 |         11 |         93 |      1,212 |
| Go Module File     |          1 |        401 |          6 |         15 |        422 |
| XML                |         21 |        298 |          3 |         35 |        336 |
| Shell Script       |          6 |         99 |         34 |         39 |        172 |
| Docker             |          1 |         42 |         12 |         21 |         75 |
| JSON with Comments |          1 |         14 |          0 |          1 |         15 |
| Ignore             |          1 |          8 |          0 |          1 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                               |      4,102 |    739,077 |     55,996 |     97,133 |    892,206 |
| . (Files)                                                                                                                                                                       |          8 |      3,605 |          7 |        180 |      3,792 |
| .claude                                                                                                                                                                         |          1 |         10 |          0 |          1 |         11 |
| .github                                                                                                                                                                         |         21 |        608 |         38 |         79 |        725 |
| .github (Files)                                                                                                                                                                 |          2 |         31 |          1 |          7 |         39 |
| .github/ISSUE_TEMPLATE                                                                                                                                                          |          2 |         78 |          0 |          2 |         80 |
| .github/workflows                                                                                                                                                               |         17 |        499 |         37 |         70 |        606 |
| action                                                                                                                                                                          |         22 |      2,461 |        182 |        377 |      3,020 |
| action (Files)                                                                                                                                                                  |          2 |        156 |          3 |         51 |        210 |
| action/args                                                                                                                                                                     |          1 |          5 |          0 |          2 |          7 |
| action/azure                                                                                                                                                                    |          1 |         46 |          2 |         10 |         58 |
| action/bitbucket                                                                                                                                                                |          1 |        150 |          5 |         10 |        165 |
| action/command                                                                                                                                                                  |          9 |      1,450 |        108 |        206 |      1,764 |
| action/command (Files)                                                                                                                                                          |          6 |      1,245 |         83 |        156 |      1,484 |
| action/command/cloud                                                                                                                                                            |          1 |         89 |         12 |         24 |        125 |
| action/command/output                                                                                                                                                           |          1 |         57 |          4 |         14 |         75 |
| action/command/validation                                                                                                                                                       |          1 |         59 |          9 |         12 |         80 |
| action/common                                                                                                                                                                   |          2 |         47 |          6 |         10 |         63 |
| action/github                                                                                                                                                                   |          3 |        441 |         33 |         63 |        537 |
| action/gitlab                                                                                                                                                                   |          1 |         89 |          4 |          9 |        102 |
| action/world                                                                                                                                                                    |          2 |         77 |         21 |         16 |        114 |
| backend                                                                                                                                                                         |      2,133 |    466,626 |     32,934 |     52,766 |    552,326 |
| backend/api                                                                                                                                                                     |         92 |     32,247 |      1,116 |      3,029 |     36,392 |
| backend/api/auth                                                                                                                                                                |          4 |        525 |         51 |         64 |        640 |
| backend/api/directory-sync                                                                                                                                                      |          3 |        634 |         25 |         95 |        754 |
| backend/api/lsp                                                                                                                                                                 |         11 |      1,224 |        107 |        181 |      1,512 |
| backend/api/v1                                                                                                                                                                  |         74 |     29,864 |        933 |      2,689 |     33,486 |
| backend/api/v1 (Files)                                                                                                                                                          |         72 |     28,314 |        933 |      2,685 |     31,932 |
| backend/api/v1/testdata                                                                                                                                                         |          2 |      1,550 |          0 |          4 |      1,554 |
| backend/api/v1/testdata (Files)                                                                                                                                                 |          1 |        213 |          0 |          1 |        214 |
| backend/api/v1/testdata/branch_merge                                                                                                                                            |          1 |      1,337 |          0 |          3 |      1,340 |
| backend/bin                                                                                                                                                                     |          6 |        256 |         48 |         60 |        364 |
| backend/bin/server                                                                                                                                                              |          6 |        256 |         48 |         60 |        364 |
| backend/bin/server (Files)                                                                                                                                                      |          1 |         10 |          1 |          4 |         15 |
| backend/bin/server/cmd                                                                                                                                                          |          5 |        246 |         47 |         56 |        349 |
| backend/common                                                                                                                                                                  |         25 |      3,481 |        379 |        485 |      4,345 |
| backend/common (Files)                                                                                                                                                          |         19 |      2,339 |        257 |        270 |      2,866 |
| backend/common/log                                                                                                                                                              |          1 |         34 |          5 |          8 |         47 |
| backend/common/qb                                                                                                                                                               |          2 |        742 |         99 |        157 |        998 |
| backend/common/stacktrace                                                                                                                                                       |          2 |         44 |          2 |          8 |         54 |
| backend/common/testcontainer                                                                                                                                                    |          1 |        322 |         16 |         42 |        380 |
| backend/component                                                                                                                                                               |         22 |      3,947 |        203 |        390 |      4,540 |
| backend/component/config                                                                                                                                                        |          1 |         36 |         26 |         10 |         72 |
